Symbol,Security Name,Industry,Close Price,Index Mcap,Weightage
,,,,(Rs. Crores),(%)
ADANIENT,Adani Enterprises Ltd.,Metals & Mining,3285.4,86143,0.90
ADANIPORTS,Adani Ports and Special Economic,Services,1320.5,96984,1.01
,Zone Ltd.,,,,
APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,Healthcare,6101.6,61412,0.64
ASIANPAINT,Asian Paints Ltd.,Consumer Durables,2821.9,127218,1.32
AXISBANK,Axis Bank Ltd.,Financial Services,1075.1,298375,3.10
BAJAJ-AUTO,Bajaj Auto Ltd.,Automobile and Auto Components,7909.35,89520,0.93
BAJFINANCE,Bajaj Finance Ltd.,Financial Services,6495.35,180642,1.88
BAJAJFINSV,Bajaj Finserv Ltd.,Financial Services,1593.8,86458,0.90
BPCL,Bharat Petroleum Corporation Ltd.,"Oil, Gas & Consumable Fuels",603.85,57636,0.60
BHARTIARTL,Bharti Airtel Ltd.,Telecommunication,1123.35,284185,2.96
BRITANNIA,Britannia Industries Ltd.,Fast Moving Consumer Goods,4965.2,58602,0.61
CIPLA,Cipla Ltd.,Healthcare,1480.35,77685,0.81
COALINDIA,Coal India Ltd.,"Oil, Gas & Consumable Fuels",436.7,99577,1.04
DIVISLAB,Divi's Laboratories Ltd.,Healthcare,3488.8,44456,0.46
DRREDDY,Dr. Reddy's Laboratories Ltd.,Healthcare,6424.25,78229,0.81
EICHERMOT,Eicher Motors Ltd.,Automobile and Auto Components,3792.4,51913,0.54
GRASIM,Grasim Industries Ltd.,Construction Materials,2191.4,80804,0.84
HCLTECH,HCL Technologies Ltd.,Information Technology,1663.85,176090,1.83
HDFCBANK,HDFC Bank Ltd.,Financial Services,1403.4,1054597,10.97
HDFCLIFE,HDFC Life Insurance Company Ltd.,Financial Services,582,61333,0.64
HEROMOTOCO,Hero MotoCorp Ltd.,Automobile and Auto Components,4426.5,57512,0.60
HINDALCO,Hindalco Industries Ltd.,Metals & Mining,503.85,73597,0.77
HINDUNILVR,Hindustan Unilever Ltd.,Fast Moving Consumer Goods,2412.3,215381,2.24
ICICIBANK,ICICI Bank Ltd.,Financial Services,1052.2,738023,7.68
ITC,ITC Ltd.,Fast Moving Consumer Goods,406.3,359888,3.74
INDUSINDBK,IndusInd Bank Ltd.,Financial Services,1474.9,97502,1.01
INFY,Infosys Ltd.,Information Technology,1673.9,597478,6.22
JSWSTEEL,JSW Steel Ltd.,Metals & Mining,800.1,76308,0.79
KOTAKBANK,Kotak Mahindra Bank Ltd.,Financial Services,1689.45,248480,2.58
LTIM,LTIMindtree Ltd.,Information Technology,5300.85,48627,0.51
LT,Larsen & Toubro Ltd.,Construction,3477.55,411085,4.28
M&M,Mahindra & Mahindra Ltd.,Automobile and Auto Components,1932.4,173016,1.80
MARUTI,Maruti Suzuki India Ltd.,Automobile and Auto Components,11288.35,149062,1.55
NTPC,NTPC Ltd.,Power,335.6,159456,1.66
NESTLEIND,Nestle India Ltd.,Fast Moving Consumer Goods,2596.2,92616,0.96
ONGC,Oil & Natural Gas Corporation Ltd.,"Oil, Gas & Consumable Fuels",264.6,103191,1.07
POWERGRID,Power Grid Corporation of India Ltd.,Power,282.85,128903,1.34
RELIANCE,Reliance Industries Ltd.,"Oil, Gas & Consumable Fuels",2921.6,988331,10.28
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,1552.55,69951,0.73
SBIN,State Bank of India,Financial Services,748.1,287090,2.99
SUNPHARMA,Sun Pharmaceutical Industries Ltd.,Healthcare,1577.95,170371,1.77
TCS,Tata Consultancy Services Ltd.,Information Technology,4095.1,414860,4.32
TATACONSUM,Tata Consumer Products Ltd.,Fast Moving Consumer Goods,1190.05,74839,0.78
TATAMOTORS,Tata Motors Ltd.,Automobile and Auto Components,950.2,167341,1.74
TATASTEEL,Tata Steel Ltd.,Metals & Mining,140.85,116048,1.21
TECHM,Tech Mahindra Ltd.,Information Technology,1273.85,79571,0.83
TITAN,Titan Company Ltd.,Consumer Durables,3624.4,151232,1.57
UPL,UPL Ltd.,Chemicals,469.7,23622,0.25
ULTRACEMCO,UltraTech Cement Ltd.,Construction Materials,9892.4,114232,1.19
WIPRO,Wipro Ltd.,Information Technology,518.6,73151,0.76
