Symbol,Security Name,Industry,Close Price,Index Mcap,Weightage
ADANIENT,Adani Enterprises Ltd.,Metals & Mining,3142.0,82383,0.87
ADANIPORTS,Adani Ports and Special Economic,Services,1207.65,88696,0.93
APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,Healthcare,6352.95,63942,0.67
ASIANPAINT,Asian Paints Ltd.,Consumer Durables,2957.85,133347,1.4
AXISBANK,Axis Bank Ltd.,Financial Services,1067.75,296335,3.12
BAJAJ-AUTO,Bajaj Auto Ltd.,Automobile and Auto Components,7667.55,86784,0.91
BAJFINANCE,Bajaj Finance Ltd.,Financial Services,6862.9,190864,2.01
BAJAJFINSV,Bajaj Finserv Ltd.,Financial Services,1627.3,88276,0.93
BPCL,Bharat Petroleum Corporation Ltd.,"Oil, Gas & Consumable Fuels",502.35,47948,0.5
BHARTIARTL,Bharti Airtel Ltd.,Telecommunication,1170.7,296164,3.12
BRITANNIA,Britannia Industries Ltd.,Fast Moving Consumer Goods,5198.4,61354,0.65
CIPLA,Cipla Ltd.,Healthcare,1351.0,70897,0.75
COALINDIA,Coal India Ltd.,"Oil, Gas & Consumable Fuels",406.15,92611,0.97
DIVISLAB,Divi's Laboratories Ltd.,Healthcare,3670.6,46773,0.49
DRREDDY,Dr. Reddy's Laboratories Ltd.,Healthcare,6121.15,74538,0.78
EICHERMOT,Eicher Motors Ltd.,Automobile and Auto Components,3839.6,52559,0.55
GRASIM,Grasim Industries Ltd.,Construction Materials,2175.0,80199,0.84
HCLTECH,HCL Technologies Ltd.,Information Technology,1576.0,166793,1.76
HDFCBANK,HDFC Bank Ltd.,Financial Services,1462.55,1099046,11.57
HDFCLIFE,HDFC Life Insurance Company Ltd.,Financial Services,576.6,60763,0.64
HEROMOTOCO,Hero MotoCorp Ltd.,Automobile and Auto Components,4621.55,60046,0.63
HINDALCO,Hindalco Industries Ltd.,Metals & Mining,579.35,84625,0.89
HINDUNILVR,Hindustan Unilever Ltd.,Fast Moving Consumer Goods,2481.55,221564,2.33
ICICIBANK,ICICI Bank Ltd.,Financial Services,1028.15,721154,7.59
ITC,ITC Ltd.,Fast Moving Consumer Goods,441.55,391111,4.12
INDUSINDBK,IndusInd Bank Ltd.,Financial Services,1534.05,101412,1.07
INFY,Infosys Ltd.,Information Technology,1660.9,592837,6.24
JSWSTEEL,JSW Steel Ltd.,Metals & Mining,818.65,78077,0.82
KOTAKBANK,Kotak Mahindra Bank Ltd.,Financial Services,1825.25,268453,2.83
LTIM,LTIMindtree Ltd.,Information Technology,5448.55,49982,0.53
LT,Larsen & Toubro Ltd.,Construction,3479.75,411345,4.33
M&M,Mahindra & Mahindra Ltd.,Automobile and Auto Components,1651.55,147870,1.56
MARUTI,Maruti Suzuki India Ltd.,Automobile and Auto Components,10186.9,134517,1.42
NTPC,NTPC Ltd.,Power,317.5,150856,1.59
NESTLEIND,Nestle India Ltd.,Fast Moving Consumer Goods,2506.0,89399,0.94
ONGC,Oil & Natural Gas Corporation Ltd.,"Oil, Gas & Consumable Fuels",252.25,98375,1.04
POWERGRID,Power Grid Corporation of India Ltd.,Power,259.3,118171,1.24
RELIANCE,Reliance Industries Ltd.,"Oil, Gas & Consumable Fuels",2853.25,965209,10.16
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,1401.15,63130,0.66
SBIN,State Bank of India,Financial Services,640.5,245797,2.59
SUNPHARMA,Sun Pharmaceutical Industries Ltd.,Healthcare,1418.45,153150,1.61
TCS,Tata Consultancy Services Ltd.,Information Technology,3815.95,386580,4.07
TATACONSUM,Tata Consumer Products Ltd.,Fast Moving Consumer Goods,1118.0,70308,0.74
TATAMOTORS,Tata Motors Ltd.,Automobile and Auto Components,884.2,155717,1.64
TATASTEEL,Tata Steel Ltd.,Metals & Mining,135.95,111116,1.17
TECHM,Tech Mahindra Ltd.,Information Technology,1333.65,83306,0.88
TITAN,Titan Company Ltd.,Consumer Durables,3697.55,154284,1.62
UPL,UPL Ltd.,Chemicals,537.7,27041,0.28
ULTRACEMCO,UltraTech Cement Ltd.,Construction Materials,10167.35,117407,1.24
WIPRO,Wipro Ltd.,Information Technology,478.15,67445,0.71
