Symbol,Security Name,Industry,Close Price,Index Mcap,Weightage
ADANIENT,Adani Enterprises Ltd.,Metals & Mining,3197.1,83828,0.85
ADANIPORTS,Adani Ports and Special Economic,Services,1341.85,98552,1.0
APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,Healthcare,6356.8,63981,0.65
ASIANPAINT,Asian Paints Ltd.,Consumer Durables,2846.75,128338,1.3
AXISBANK,Axis Bank Ltd.,Financial Services,1047.2,297312,3.02
BAJAJ-AUTO,Bajaj Auto Ltd.,Automobile and Auto Components,9148.15,103623,1.05
BAJFINANCE,Bajaj Finance Ltd.,Financial Services,7245.25,201815,2.05
BAJAJFINSV,Bajaj Finserv Ltd.,Financial Services,1643.85,89173,0.91
BPCL,Bharat Petroleum Corporation Ltd.,"Oil, Gas & Consumable Fuels",602.4,57497,0.58
BHARTIARTL,Bharti Airtel Ltd.,Telecommunication,1228.6,319601,3.25
BRITANNIA,Britannia Industries Ltd.,Fast Moving Consumer Goods,4911.25,57965,0.59
CIPLA,Cipla Ltd.,Healthcare,1496.95,78558,0.8
COALINDIA,Coal India Ltd.,"Oil, Gas & Consumable Fuels",434.1,98984,1.01
DIVISLAB,Divi's Laboratories Ltd.,Healthcare,3445.3,43902,0.45
DRREDDY,Dr. Reddy's Laboratories Ltd.,Healthcare,6157.9,74989,0.76
EICHERMOT,Eicher Motors Ltd.,Automobile and Auto Components,4019.3,55025,0.56
GRASIM,Grasim Industries Ltd.,Construction Materials,2287.3,84344,0.86
HCLTECH,HCL Technologies Ltd.,Information Technology,1543.55,163358,1.66
HDFCBANK,HDFC Bank Ltd.,Financial Services,1447.9,1088916,11.07
HDFCLIFE,HDFC Life Insurance Company Ltd.,Financial Services,633.35,66750,0.68
HEROMOTOCO,Hero MotoCorp Ltd.,Automobile and Auto Components,4722.3,61366,0.62
HINDALCO,Hindalco Industries Ltd.,Metals & Mining,560.25,81835,0.83
HINDUNILVR,Hindustan Unilever Ltd.,Fast Moving Consumer Goods,2264.35,202171,2.05
ICICIBANK,ICICI Bank Ltd.,Financial Services,1093.3,767657,7.8
ITC,ITC Ltd.,Fast Moving Consumer Goods,428.35,379597,3.86
INDUSINDBK,IndusInd Bank Ltd.,Financial Services,1553.0,102737,1.04
INFY,Infosys Ltd.,Information Technology,1498.05,534746,5.44
JSWSTEEL,JSW Steel Ltd.,Metals & Mining,830.2,79178,0.8
KOTAKBANK,Kotak Mahindra Bank Ltd.,Financial Services,1785.5,262655,2.67
LTIM,LTIMindtree Ltd.,Information Technology,4938.4,45340,0.46
LT,Larsen & Toubro Ltd.,Construction,3763.9,444961,4.52
M&M,Mahindra & Mahindra Ltd.,Automobile and Auto Components,1921.35,183973,1.87
MARUTI,Maruti Suzuki India Ltd.,Automobile and Auto Components,12600.35,166386,1.69
NTPC,NTPC Ltd.,Power,335.8,159551,1.62
NESTLEIND,Nestle India Ltd.,Fast Moving Consumer Goods,2622.35,93549,0.95
ONGC,Oil & Natural Gas Corporation Ltd.,"Oil, Gas & Consumable Fuels",268.05,104536,1.06
POWERGRID,Power Grid Corporation of India Ltd.,Power,276.9,126192,1.28
RELIANCE,Reliance Industries Ltd.,"Oil, Gas & Consumable Fuels",2971.7,1005280,10.22
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,1500.25,67604,0.69
SHRIRAMFIN,Shriram Finance Ltd.,Financial Services,2359.8,65623,0.67
SBIN,State Bank of India,Financial Services,752.35,288721,2.93
SUNPHARMA,Sun Pharmaceutical Industries Ltd.,Healthcare,1620.55,174971,1.78
TCS,Tata Consultancy Services Ltd.,Information Technology,3876.3,392694,3.99
TATACONSUM,Tata Consumer Products Ltd.,Fast Moving Consumer Goods,1096.2,68937,0.7
TATAMOTORS,Tata Motors Ltd.,Automobile and Auto Components,992.8,174864,1.78
TATASTEEL,Tata Steel Ltd.,Metals & Mining,155.85,128407,1.31
TECHM,Tech Mahindra Ltd.,Information Technology,1248.1,79225,0.81
TITAN,Titan Company Ltd.,Consumer Durables,3801.8,158634,1.61
ULTRACEMCO,UltraTech Cement Ltd.,Construction Materials,9749.15,112579,1.14
WIPRO,Wipro Ltd.,Information Technology,480.1,67730,0.69
